wallet_address,label,first_transaction_date,wallet_age_days,apt_balance,other_token_count,total_transaction_count,successful_transaction_count,failed_transaction_count,unique_interacted_contracts,unique_interacted_addresses,avg_time_between_tx_seconds,std_dev_time_between_tx_seconds,most_active_hour,most_active_weekday,is_self_funded
0xb9867e49d2898ac5435aff9359a7412e72b5fd99b9588e16f8ad8d4d388591f5,0,2025-06-27 07:01:03 UTC,17,133.679956,1,177,113,64,4,67,58888.28977272727,274216.0722839189,8,Thursday,1
0xeeeb0c486ce19eabe9a9e4d8343978308e89ed726cce26d12a693c4dec57d663,0,2025-07-02 13:19:28 UTC,12,1.348608,2,8917,2047,6870,8,197,4704.072566173172,98297.43997973012,0,Monday,1
0xb750b24e100eb39afe2ab84dc1ea00b724e3ca0cabcf9e0dbd9d288b5eba3975,0,2025-07-14 08:36:51 UTC,0,0.31287282,7,769,769,0,3,125,71324.515625,277700.8874994957,1,Wednesday,1
0x31deb490728ae8e1a89675ee4c1877af8e5849c526d2c9a64238c49d8ece08a0,0,2025-07-12 05:18:38 UTC,2,5.42535239,0,123,123,0,2,106,632793.0737704918,2527164.116915334,6,Monday,1
0x5a0ad9e31a2f452504429b6f7073cb325994c2c66204f5deb8e0561a9e950c3c,0,2025-03-13 07:07:51 UTC,123,0.930061,0,133,130,3,3,70,111908.7196969697,1004775.272529033,10,Monday,1
0xeab7ea4d635b6b6add79d5045c4a45d8148d88287b1cfa1c3b6a4b56f46839ed,0,2025-07-10 04:48:16 UTC,4,0.44012365,3,764,746,18,5,72,36007.2752293578,184988.35940109452,15,Wednesday,1
0x50c07cb24f0e95676f63b45e79ce2537abae29160f1915edf7e2304726ee1f8b,0,2025-07-13 15:57:55 UTC,0,3.359478,1,7,7,0,3,5,1371504.1666666667,2974284.391576536,12,Friday,1
0x8d82d605ce7516d0042ebef208546413c3a0d2d8175303d2997f04cdf624f82b,0,2025-07-14 13:24:46 UTC,0,7.4763306,5,1966,1955,11,6,18,1507.9297709923665,6051.280477969743,16,Tuesday,1
0x6b335832200f755c77e20a2600aa2d994070b790373ad54350e124c8b9cb85f8,0,2025-04-08 09:47:34 UTC,97,0.00199,0,1,1,0,1,1,-1,-1,9,Tuesday,1
0x0cf869189c785beaaad2f5c636ced4805aeae9cbf49070dc93aed2f16b99012a,0,2023-05-22 22:02:07 UTC,783,0,0,12800,12796,4,1,7348,1441.438862411126,2973.460235352927,19,Saturday,0
0x0b5731d3a044e38460f41d6d2e0bb500f09ed1916ba8edd12cc147df79e07d36,0,2025-04-10 09:46:52 UTC,95,0.195488,0,5,4,1,2,6,48725.25,71946.45684248461,9,Tuesday,0
0x202a58ed2b91507f5ab3e9702f1f1faef06110b855dd43279041ccfb1ead77ad,0,2025-04-03 08:14:32 UTC,102,0.021423,4,9,9,0,1,1,9583546.125,19933513.833769474,19,Friday,1
